ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer
1,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Giao tiếp trong môi trường số là gì?,Giao tiếp qua điện thoại cố định,Giao tiếp bằng lời nói trực tiếp,Giao tiếp thông qua các nền tảng công nghệ số,Giao tiếp qua văn bản giấy,C,Giao tiếp thông qua các nền tảng công nghệ số
2,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Giao tiếp ngoại tuyến (offline) là hình thức giao tiếp nào?,Giao tiếp sử dụng Internet và mạng xã hội,"Giao tiếp không sử dụng Internet, có sự tương tác trực tiếp của con người",Chỉ giao tiếp qua các cuộc gọi điện thoại,Chỉ giao tiếp qua các ấn phẩm in,B,"Giao tiếp không sử dụng Internet, có sự tương tác trực tiếp của con người"
3,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Đâu là một ví dụ về giao tiếp trực tuyến?,Các cuộc họp mặt trực tiếp,Đọc báo in,Nghe đài phát thanh,Gửi thư điện tử (E-mail),D,Gửi thư điện tử (E-mail)
4,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Tương tác thông qua công nghệ số bao gồm hoạt động nào sau đây?,Hợp tác qua nền tảng số như Google Docs,Chỉ bao gồm các cuộc trò chuyện thông thường,Chỉ bao gồm việc tham gia các diễn đàn,Chỉ tương tác với trợ lý ảo,A,Hợp tác qua nền tảng số như Google Docs
5,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Một trong những ý nghĩa của việc tương tác hiệu quả qua công nghệ số là gì?,Giảm khả năng hợp tác nhóm,Tăng nguy cơ bị lừa đảo,Phát triển kỹ năng giao tiếp chuyên nghiệp trên không gian số,Hạn chế việc tiếp cận tài nguyên học tập,C,Phát triển kỹ năng giao tiếp chuyên nghiệp trên không gian số
6,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"""Netiquette"" (Phép lịch sự trên mạng) chủ yếu đề cập đến điều gì?",Các quy tắc về an ninh mạng,Các tiêu chuẩn ứng xử và giao tiếp có trách nhiệm trực tuyến,Các luật lệ về bản quyền nội dung số,Các giao thức kỹ thuật cho internet,B,Các tiêu chuẩn ứng xử và giao tiếp có trách nhiệm trực tuyến
7,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"Một địa chỉ e-mail bao gồm hai phần là tên miền và tên địa phương, được phân tách bằng ký hiệu nào?",#,&,$,@,D,@
8,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Giao tiếp hiệu quả trên nền tảng số yêu cầu kỹ năng nào sau đây?,Chỉ cần sử dụng mạng xã hội,"Kỹ năng lắng nghe, phản hồi đúng lúc",Tạo ra nhiều nhóm chat,Dùng nhiều biểu tượng cảm xúc,B,"Kỹ năng lắng nghe, phản hồi đúng lúc"
9,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"Tại sao tài khoản email được coi là ""chìa khóa"" để nhận dạng người dùng trực tuyến?",Vì nó là phương tiện giao tiếp duy nhất,Vì nó không yêu cầu mật khẩu,Vì nó có tính bảo mật tuyệt đối,"Vì nó thường được dùng như ""thông tin đăng nhập"" để kết nối với các dịch vụ trực tuyến khác",D,"Vì nó thường được dùng như ""thông tin đăng nhập"" để kết nối với các dịch vụ trực tuyến khác"
10,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Hình thức nào sau đây KHÔNG phải là giao tiếp số?,Chat trực tuyến,Cuộc họp video qua zoom,Thư viết tay,Email,C,Thư viết tay
11,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"Để giữ an toàn cho tài khoản email, một trong những biện pháp được khuyến nghị là gì?",Sử dụng cùng một mật khẩu cho tất cả các tài khoản,Tạo mật khẩu mạnh và bật bảo vệ hai lớp,Công khai địa chỉ email cá nhân ở mọi nơi,Không bao giờ thay đổi mật khẩu,B,Tạo mật khẩu mạnh và bật bảo vệ hai lớp
12,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"""Netiquette"" (Phép lịch sự trên mạng) KHÔNG bao gồm nguyên tắc nào dưới đây?",Tôn trọng quyền riêng tư của người khác.,Đọc kỹ trước khi gửi để tránh sai sót.,Tham gia thảo luận một cách có trách nhiệm.,Tranh luận gay gắt để bảo vệ quan điểm cá nhân.,D,Tranh luận gay gắt để bảo vệ quan điểm cá nhân.
13,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"Khi viết email công việc, dòng tiêu đề (Subject) nên",Để trống để tạo sự tò mò,"Viết dài, mô tả chi tiết toàn bộ nội dung email","Ngắn gọn, rõ ràng và phản ánh chính xác nội dung chính",Chỉ sử dụng các ký tự đặc biệt để nổi bật,C,"Ngắn gọn, rõ ràng và phản ánh chính xác nội dung chính"
14,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Hợp tác số là gì?,Làm việc nhóm thông qua nền tảng số,Giao tiếp qua giấy tờ,Làm việc độc lập trên máy tính,Giao tiếp qua điện thoại cá nhân,A,Làm việc nhóm thông qua nền tảng số
15,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Một lợi ích của hợp tác trong môi trường số là,Tăng thời gian xử lý công việc,"Làm việc mọi lúc, mọi nơi",Không cần người quản lý,Hạn chế chia sẻ tài liệu,B,"Làm việc mọi lúc, mọi nơi"
16,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Việc sử dụng chữ in đậm ở một số nội dung trong giao tiếp số thường được diễn giải là,Thể hiện sự chuyên nghiệp,Giúp người đọc dễ nhìn thấy hơn,Nhấn mạnh thông tin quan trọng người đọc cần lưu ý,Hành động không hài lòng,C,Nhấn mạnh thông tin quan trọng người đọc cần lưu ý
17,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"Khi nhận được một tin nhắn hoặc email có nội dung gây khó chịu, bạn nên",Phản hồi ngay lập tức với một thông điệp tương tự,Bỏ qua và không phản hồi,Chuyển tiếp cho tất cả mọi người để họ cùng biết,"Tạm dừng, suy nghĩ kỹ và trả lời một cách bình tĩnh, chuyên nghiệp",D,"Tạm dừng, suy nghĩ kỹ và trả lời một cách bình tĩnh, chuyên nghiệp"
18,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"Theo một nghiên cứu năm 2021, lý do phổ biến nhất mọi người sử dụng mạng xã hội là gì?",Đọc các câu chuyện tin tức,Tìm kiếm cảm hứng,Lấp đầy thời gian rảnh rỗi,Duy trì kết nối với gia đình và bạn bè,D,Duy trì kết nối với gia đình và bạn bè
19,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Yếu tố nào sau đây là QUAN TRỌNG NHẤT để xây dựng lòng tin trong giao tiếp số?,Tốc độ phản hồi nhanh chóng,"Sự trung thực, minh bạch và nhất quán",Sử dụng nhiều hình ảnh và biểu tượng cảm xúc,Luôn đồng ý với mọi người,B,"Sự trung thực, minh bạch và nhất quán"
20,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Tôn trọng quyền riêng tư trong giao tiếp số nghĩa là:,Chia sẻ mọi thông tin của bạn bè,Dùng camera ẩn,Ghi âm cuộc họp bí mật,Không đăng tải thông tin người khác khi chưa được phép,D,Không đăng tải thông tin người khác khi chưa được phép
21,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"Khi tham gia một diễn đàn trực tuyến mới, việc đầu tiên bạn nên làm là gì?",Đăng ngay một câu hỏi của mình,Quảng cáo sản phẩm/dịch vụ của mình,Giới thiệu bản thân và đọc các quy tắc của cộng đồng,Chỉ đọc mà không bao giờ tương tác,C,Giới thiệu bản thân và đọc các quy tắc của cộng đồng
22,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"Theo tài liệu, trách nhiệm công dân trong môi trường số KHÔNG bao gồm hành vi nào sau đây?",Phản hồi chính sách thông qua cổng thông tin điện tử,Lan tỏa các giá trị tích cực,Giám sát và góp ý một cách có trách nhiệm,Luôn giữ im lặng trước các vấn đề xã hội,D,Luôn giữ im lặng trước các vấn đề xã hội
23,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Đâu là một trong những hành vi thể hiện trách nhiệm công dân trong môi trường số?,Phớt lờ các vi phạm trên mạng,Tuân thủ pháp luật số và chuẩn mực đạo đức số,Chia sẻ mọi thông tin mà không cần kiểm chứng,Sử dụng danh tính ẩn danh để công kích người khác,B,Tuân thủ pháp luật số và chuẩn mực đạo đức số
24,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"Trong giao tiếp số, việc sử dụng biểu tượng cảm xúc (emoji) nên",Được sử dụng thay thế hoàn toàn cho ngôn từ,Tránh tuyệt đối trong mọi ngữ cảnh công việc,Càng nhiều càng tốt để thể hiện cảm xúc,"Được sử dụng một cách thận trọng, phù hợp với ngữ cảnh và đối tượng",D,"Được sử dụng một cách thận trọng, phù hợp với ngữ cảnh và đối tượng"
25,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"Khi giao tiếp trong môi trường số (email, chat), yếu tố nào sau đây là QUAN TRỌNG NHẤT để tránh hiểu lầm?",Sử dụng nhiều biểu tượng cảm xúc (emoji) để thể hiện thái độ.,"Viết thật ngắn gọn, bỏ qua các từ không cần thiết.","Sử dụng ngôn ngữ rõ ràng, mạch lạc và đúng ngữ pháp.",Luôn viết hoa toàn bộ các từ quan trọng.,C,"Sử dụng ngôn ngữ rõ ràng, mạch lạc và đúng ngữ pháp."
26,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"Khi bị bôi nhọ trên mạng xã hội, người dùng có thể làm gì để bảo vệ mình theo quy định của Luật An ninh mạng, 2018?",Trả đũa bằng cách bôi nhọ lại người khác,Im lặng và chấp nhận,Xóa tài khoản mạng xã hội của mình,Sử dụng công cụ “Báo cáo nội dung” hoặc gửi khiếu nại đến cơ quan quản lý,D,Sử dụng công cụ “Báo cáo nội dung” hoặc gửi khiếu nại đến cơ quan quản lý
27,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"Khi bạn không chắc chắn về ý nghĩa của một tin nhắn, cách tốt nhất là",Giả vờ như bạn đã hiểu,Phớt lờ tin nhắn đó,Hỏi lại để làm rõ thay vì đưa ra giả định,Hỏi một người khác giải thích hộ,C,Hỏi lại để làm rõ thay vì đưa ra giả định
28,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"""Lắng nghe tích cực"" trong môi trường số KHÔNG bao gồm việc","Ngắt lời người khác khi họ đang trình bày, chia sẻ thông tin",Đọc kỹ toàn bộ tin nhắn trước khi trả lời,Đưa ra phản hồi dựa trên sự hiểu biết đầy đủ về vấn đề,Tóm tắt lại các điểm chính để xác nhận thông tin,A,"Ngắt lời người khác khi họ đang trình bày, chia sẻ thông tin"
29,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Công cụ nào sau đây được thiết kế ĐẶC BIỆT cho việc quản lý dự án và công việc nhóm?,Zoom,Trello/Asana,Gmail,Microsoft Word,B,Trello/Asana
30,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Phần mềm nào sau đây hỗ trợ giao tiếp nhóm trực tuyến hiệu quả?,Microsoft Word,Excel,Photoshop,Zalo,D,Zalo
31,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,Ứng dụng “Hue-S” được nêu làm ví dụ cho hành vi công dân số nào?,Góp ý dự thảo luật,Gửi phản ánh hiện trạng (lấn chiếm lòng đường) đến chính quyền,Đăng ký môn học trực tuyến,Nộp học phí trực tuyến,B,Gửi phản ánh hiện trạng (lấn chiếm lòng đường) đến chính quyền
32,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Mục đích chính của các công cụ nhắn tin tức thời (Zalo, Skype, Facebook Messager) trong công việc là",Thay thế hoàn toàn email,Cho các cuộc trò chuyện dài và phức tạp,"Giao tiếp nhanh, trao đổi theo nhóm và chia sẻ tệp tin nhanh chóng",Chỉ để trò chuyện xã hội,C,"Giao tiếp nhanh, trao đổi theo nhóm và chia sẻ tệp tin nhanh chóng"
33,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,Đâu là một trong những tính năng nổi bật của cuộc gọi video (video call)?,Chỉ cho phép gọi một-một,"Giao tiếp trực tiếp, thấy được biểu cảm và ngôn ngữ cơ thể",Yêu cầu kết nối mạng dây,Không thể thực hiện trên thiết bị di động,B,"Giao tiếp trực tiếp, thấy được biểu cảm và ngôn ngữ cơ thể"
34,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Trong bối cảnh giao tiếp trực tuyến, ""btw"" là viết tắt của cụm từ nào?",Be there whenever,By the way,Better than watching,Before the work,B,By the way
35,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Theo tài liệu, quyền của một ""Công dân số"" bao gồm điều gì?","Quyền truy cập công nghệ, quyền riêng tư và quyền tự do ngôn luận",Chỉ có quyền truy cập Internet tốc độ cao,Quyền đăng tải mọi thông tin không cần kiểm chứng,Quyền sử dụng miễn phí mọi phần mềm,A,"Quyền truy cập công nghệ, quyền riêng tư và quyền tự do ngôn luận"
36,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Khi tra cứu văn bản pháp luật trực tuyến, tại sao việc kiểm tra hiệu lực của văn bản lại quan trọng?",Để biết văn bản có phổ biến hay không,Vì văn bản có thể hết hiệu lực,Để xem có bao nhiêu người đã đọc văn bản,Để tải văn bản về máy nhanh hơn,B,Vì văn bản có thể hết hiệu lực
37,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Tính năng ""Comment"" trong Google Docs hay Microsoft Word có tác dụng chính là gì?",Tự động sửa lỗi chính tả,Cho phép nhiều người cùng chỉnh sửa trực tiếp mà không cần trao đổi,Tạo đường link (liên kết) đến tài liệu trách dẫn,"Cung cấp không gian để đưa ra phản hồi, góp ý mà không thay đổi nội dung gốc",D,"Cung cấp không gian để đưa ra phản hồi, góp ý mà không thay đổi nội dung gốc"
38,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Nền tảng nào sau đây thuộc nhóm ""Lưu trữ đám mây & Hợp tác tài liệu""?",TikTok,Zalo,Google Drive,Facebook,C,Google Drive
39,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Khi tổ chức một cuộc họp trực tuyến, việc nào sau đây là NÊN LÀM?","Gửi lịch họp (lời mời) kèm theo link tham gia, chương trình nghị sự và tài liệu đọc trước",Chỉ cần gửi link họp trước giờ họp,"Không cần phải có kế hoạch trước, họp tự phát",Yêu cầu mọi người luôn bật camera trong suốt cuộc họp,A,"Gửi lịch họp (lời mời) kèm theo link tham gia, chương trình nghị sự và tài liệu đọc trước"
40,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Một ""Wiki"" trong môi trường làm việc số thường được sử dụng để làm gì?",Gửi email hàng loạt,Tạo các bản trình chiếu phức tạp,"Tạo và chia sẻ kiến thức chung, nơi mọi người cùng đóng góp và chỉnh sửa",Quản lý lịch cá nhân,C,"Tạo và chia sẻ kiến thức chung, nơi mọi người cùng đóng góp và chỉnh sửa"
41,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Hành vi nào sau đây được xem là ""NÊN LÀM"" trong môi trường mạng?",Phát tán thông tin chưa kiểm chứng,Sử dụng ngôn từ tôn trọng và xây dựng,Dùng từ ngữ xúc phạm người khác,Nhấn vào các liên kết không rõ nguồn gốc,B,Sử dụng ngôn từ tôn trọng và xây dựng
42,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Hành vi nào sau đây được xem là ""KHÔNG NÊN LÀM"" trong môi trường mạng?",Kiểm chứng nguồn tin trước khi chia sẻ,Phản ánh sự thật một cách văn minh,"Vu khống, bôi nhọ qua mạng xã hội",Bảo mật thông tin cá nhân,C,"Vu khống, bôi nhọ qua mạng xã hội"
43,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Để một cuộc họp trực tuyến hiệu quả, người chủ trì nên","Cho phép mọi người nói tự do, không cần giơ tay",Tắt micro của tất cả người tham gia và chỉ bật khi cần phát biểu,Không can thiệp vào các cuộc trò chuyện song song,Để cuộc họp kéo dài không giới hạn thời gian,B,Tắt micro của tất cả người tham gia và chỉ bật khi cần phát biểu
44,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Lợi ích chính của việc sử dụng các công cụ quản lý công việc (như Asana, Trello) là",Thay thế hoàn toàn việc giao tiếp giữa các thành viên,Tự động hoàn thành tất cả các nhiệm vụ,Chỉ dành cho trưởng nhóm,"Tăng cường sự minh bạch, theo dõi tiến độ và phân công trách nhiệm rõ ràng",D,"Tăng cường sự minh bạch, theo dõi tiến độ và phân công trách nhiệm rõ ràng"
45,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Khi cộng tác trên một tài liệu chung, bạn phát hiện ra lỗi sai quan trọng. Bạn nên",Tự sửa lỗi mà không nói gì,Gửi email riêng cho sếp phàn nàn về lỗi sai,"Sử dụng tính năng ""Comment"" hoặc ""Suggesting"" để đề xuất sửa đổi và tag người liên quan",Bỏ qua vì không phải việc của mình,B,Gửi email riêng cho sếp phàn nàn về lỗi sai
46,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,Bước đầu tiên trong quy trình 5 bước kiểm chứng thông tin là gì?,Phân tích nội dung,Kiểm tra chéo,Đánh giá nguồn tin,Xác thực hình ảnh,C,Đánh giá nguồn tin
47,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"""Làm việc theo nhóm không đồng bộ"" (Asynchronous Collaboration) có nghĩa là","Các thành viên làm việc vào các thời điểm khác nhau, không cần có mặt cùng lúc",Các thành viên làm việc cùng nhau tại cùng một thời điểm,Nhóm làm việc mà không có nhóm trưởng,Nhóm sử dụng duy nhất một công cụ để giao tiếp,A,"Các thành viên làm việc vào các thời điểm khác nhau, không cần có mặt cùng lúc"
48,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Khi tham gia họp trực tuyến, việc sử dụng tính năng ""giơ tay"" (Raise Hand) có tác dụng gì?",Thể hiện sự đồng ý với người đang nói,Thông báo rời cuộc họp,Tắt micro của người khác,Báo hiệu cho người chủ trì biết bạn muốn phát biểu mà không làm gián đoạn cuộc họp,D,Báo hiệu cho người chủ trì biết bạn muốn phát biểu mà không làm gián đoạn cuộc họp
49,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Trong môi trường làm việc nhóm trực tuyến, ""Single Source of Truth"" (Nguồn sự thật duy nhất) thường đề cập đến",Một người trong nhóm luôn luôn đúng,Một nền tảng hoặc tài liệu trung tâm nơi mọi thông tin cập nhật mới nhất được lưu trữ,Một cuộc họp kéo dài hàng giờ,Một kênh chat riêng tư giữa trưởng nhóm và sếp,B,Một nền tảng hoặc tài liệu trung tâm nơi mọi thông tin cập nhật mới nhất được lưu trữ
50,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Trong môi trường làm việc cộng tác, để tránh ""xung đột phiên bản"" khi nhiều người cùng chỉnh sửa một tệp, bạn nên",Gửi tệp qua email cho từng người một,Chỉ cho phép một người có quyền chỉnh sửa tại một thời điểm,In tài liệu ra và giửi cho mọi người chỉnh sửa bằng tay rồi tổng hợp lại,"Sử dụng các công cụ cộng tác trực tuyến (Google Workspace, Microsoft 365) cho phép chỉnh sửa đồng thời",D,"Sử dụng các công cụ cộng tác trực tuyến (Google Workspace, Microsoft 365) cho phép chỉnh sửa đồng thời"
51,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Khi chia sẻ màn hình trong cuộc họp trực tuyến, điều gì là QUAN TRỌNG nhất","Đảm bảo bạn chỉ chia sẻ các tab, cửa sổ ứng dụng cụ thể cần thiết cho cuộc họp",Chia sẻ toàn bộ màn hình để mọi người thấy mọi thứ,Luôn bật webcam khi chia sẻ màn hình,Cần hỏi ý kiến và nhận được đồng ý của các thành viên mới chia sẻ,A,"Đảm bảo bạn chỉ chia sẻ các tab, cửa sổ ứng dụng cụ thể cần thiết cho cuộc họp"
52,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Khi một thành viên trong nhóm liên tục không phản hồi tin nhắn hoặc email, việc đầu tiên bạn nên làm là",Công khai nhắc họ trong nhóm chat để gây áp lực,Báo cáo họ với cấp trên ngay lập tức,Thử liên lạc bằng một phương thức khác (gọi điện) để hỏi thăm và nhắc nhở lịch sự,Coi như họ đang không hợp tác và tự làm thay công việc của họ,C,Thử liên lạc bằng một phương thức khác (gọi điện) để hỏi thăm và nhắc nhở lịch sự
53,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Khi làm việc nhóm trên các nền tảng số, hành động nào sau đây là NGUY HIỂM nhất?",Đăng nhập nền tảng trên nhiều thiết bị,Đăng xuất khỏi tài khoản khi sử dụng thiết bị công cộng,Chia sẻ mật khẩu tài khoản cá nhân cho đồng nghiệp,"Sử dụng liên kết chia sẻ với quyền ""Chỉ xem""",C,Chia sẻ mật khẩu tài khoản cá nhân cho đồng nghiệp
54,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Khi cần gửi một tệp tin chứa thông tin nhạy cảm, biện pháp an toàn hơn cả là",Gửi tệp đính kèm email không mật khẩu,Đặt mật khẩu cho tệp và gửi mật khẩu qua một kênh khác (tin nhắn SMS),"Upload lên dịch vụ lưu trữ, chia sẻ liên kết công khai",Không bao giờ gửi thông tin nhạy cảm qua internet,B,Đặt mật khẩu cho tệp và gửi mật khẩu qua một kênh khác (tin nhắn SMS)
55,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Hiện tượng ""Zoombombing"" xảy ra khi",Có người không được mời xâm nhập và quấy rối cuộc họp trực tuyến,Một cuộc họp Zoom có chất lượng video rất xấu,Ứng dụng Zoom bị lỗi và tự động thoát,Người tham gia sử dụng background ảo,A,Có người không được mời xâm nhập và quấy rối cuộc họp trực tuyến
56,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Khi nhận được một email yêu cầu cung cấp thông tin đăng nhập hoặc thông tin cá nhân, bạn nên",Trả lời ngay vì có thể đây là yêu cầu khẩn cấp,Xóa email đó ngay lập tức và không click vào bất kỳ liên kết nào,Chuyển tiếp email cho đồng nghiệp để hỏi ý kiến,Cung cấp thông tin để xác minh danh tính của họ,B,Xóa email đó ngay lập tức và không click vào bất kỳ liên kết nào
57,Module 2. Giao tiếp và hợp tác trong môi trường số,2,2,"Khi chia sẻ tệp trên Google Drive hoặc OneDrive, quyền ""Có thể chỉnh sửa"" nên được cấp cho:",Chỉ những người thực sự cần chỉnh sửa tài liệu,Bất kỳ ai có liên kết,Tất cả mọi người trong công ty,Tất cả đều đúng,A,Chỉ những người thực sự cần chỉnh sửa tài liệu
